skill,seniority,adverts,median_salary,baseline_salary,premium_pct,premium_low,premium_high,significant
Test automation,Senior,33,18000.0,23000.0,-21.7,-26.1,-16.0,True
Degree,Senior,68,17871.5,23000.0,-22.3,-27.0,-1.2,True
Postman,Mid,24,12720.0,16800.0,-24.3,-43.8,-10.0,True
CRM,Mid,26,11792.0,16800.0,-29.8,-43.5,10.0,False
Windows,Mid,23,11300.0,16800.0,-32.7,-40.5,0.0,False
ERP,Mid,20,11050.0,16800.0,-34.2,-45.1,-13.3,True
Windows Server,Mid,15,11000.0,16800.0,-34.5,-61.3,0.0,False
Prawo jazdy kat. B,Mid,24,10000.0,16800.0,-40.5,-46.4,-34.5,True
Doświadczenie,Mid,146,9465.0,16800.0,-43.7,-46.4,-40.0,True
Accounting,Senior,24,11750.0,23000.0,-48.9,-56.5,-8.1,True
MS Office,Mid,91,8500.0,16800.0,-49.4,-52.4,-30.0,True
MS Excel,Mid,22,8254.0,16800.0,-50.9,-57.1,-40.5,True
Wykształcenie wyższe,Mid,18,7500.0,16800.0,-55.4,-70.2,-28.6,True
B2B,Mid,16,6500.0,16800.0,-61.3,-70.2,-28.6,True
Sprzedaż,Mid,17,5376.0,16800.0,-68.0,-68.6,-52.4,True
